quina,frequency
5-11-19-20-25,252
5-14-19-20-25,252
8-10-11-20-24,252
8-11-13-15-20,252
9-10-13-17-25,252
9-10-13-18-20,252
9-10-14-20-25,252
1-10-11-15-24,251
1-10-11-20-25,251
1-11-15-18-20,251
1-11-23-24-25,251
1-3-5-23-25,251
1-4-5-11-20,251
10-11-12-14-20,251
10-11-13-14-20,251
10-11-13-23-25,251
10-11-14-15-20,251
10-12-20-23-24,251
10-13-14-20-24,251
12-13-18-20-22,251
12-14-20-24-25,251
2-4-12-22-25,251
2-4-9-20-25,251
2-5-11-20-25,251
3-4-10-11-13,251
3-4-11-15-22,251
3-4-11-22-24,251
3-4-12-22-25,251
3-4-22-24-25,251
3-9-10-14-20,251
3-9-10-19-25,251
4-10-20-23-25,251
4-5-10-11-20,251
4-9-10-12-14,251
5-7-11-20-25,251
5-7-14-20-25,251
5-8-11-14-20,251
6-9-12-13-25,251
7-10-11-12-20,251
7-10-11-13-20,251
7-10-11-20-25,251
7-10-14-20-25,251
7-11-14-20-25,251
7-13-18-20-22,251
8-11-13-20-22,251
9-10-14-16-20,251
9-11-12-13-20,251
9-11-12-19-20,251
9-12-13-19-20,251
9-12-13-20-25,251
1-10-15-18-20,250
1-11-14-15-20,250
1-12-15-19-20,250
1-14-15-19-20,250
1-3-10-13-25,250
1-3-9-10-25,250
1-4-10-11-20,250
1-4-11-20-23,250
1-6-9-10-25,250
1-7-13-18-20,250
1-9-10-12-24,250
1-9-10-19-25,250
1-9-13-24-25,250
10-11-12-19-20,250
10-12-13-18-20,250
10-13-20-23-25,250
10-14-18-20-25,250
11-12-15-18-20,250
11-13-15-18-22,250
13-14-15-20-22,250
14-15-19-20-25,250
2-11-23-24-25,250
2-3-4-22-25,250
2-3-9-18-20,250
2-4-11-12-20,250
2-4-11-23-25,250
2-6-9-20-25,250
2-9-10-14-20,250
2-9-14-20-25,250
3-10-13-20-25,250
3-14-15-22-24,250
3-4-18-22-25,250
3-4-9-10-22,250
3-5-10-14-25,250
3-8-11-22-25,250
4-10-11-20-21,250
4-10-19-23-24,250
4-11-13-20-21,250
4-11-13-23-24,250
4-13-23-24-25,250
4-5-11-13-20,250
4-5-11-14-20,250
4-5-11-23-24,250
5-10-11-12-20,250
5-8-11-18-25,250
5-9-10-20-25,250
7-10-14-15-20,250
8-10-11-22-25,250
8-10-20-24-25,250
8-11-13-20-25,250
9-10-12-18-25,250
9-12-14-15-20,250
1-10-12-17-24,249
1-10-12-20-23,249
1-10-13-18-20,249
1-10-13-24-25,249
1-10-14-17-20,249
1-10-14-20-24,249
1-10-20-24-25,249
1-11-15-20-22,249
1-11-20-23-24,249
1-2-12-24-25,249
1-3-13-15-24,249
1-4-10-11-24,249
1-4-11-15-20,249
1-5-11-15-20,249
1-5-11-19-20,249
1-8-10-11-24,249
10-11-13-15-20,249
10-11-13-18-25,249
10-11-14-20-23,249
10-11-20-21-25,249
10-12-14-20-24,249
10-12-14-24-25,249
10-14-16-20-25,249
10-14-19-20-24,249
10-15-18-19-20,249
11-13-20-22-24,249
11-14-20-23-25,249
11-14-20-24-25,249
12-20-23-24-25,249
13-14-17-20-22,249
2-10-11-14-20,249
2-10-20-21-25,249
2-4-10-12-22,249
2-4-10-12-25,249
2-4-20-23-25,249
2-4-6-24-25,249
2-4-9-10-12,249
2-5-11-23-24,249
2-7-10-14-25,249
2-7-14-20-24,249
2-9-10-11-20,249
2-9-10-13-25,249
3-10-11-18-20,249
3-10-14-15-22,249
3-10-14-15-24,249
3-10-14-20-24,249
3-10-18-20-25,249
3-14-15-20-22,249
3-5-11-23-24,249
3-5-15-19-25,249
3-6-9-10-19,249
3-6-9-13-25,249
3-9-10-22-25,249
3-9-13-20-25,249
4-10-12-22-25,249
4-10-12-23-24,249
4-10-13-23-24,249
4-11-19-20-21,249
4-11-23-24-25,249
5-10-11-20-24,249
5-11-14-20-23,249
5-13-18-20-22,249
5-14-20-23-25,249
5-7-11-18-20,249
5-7-14-20-24,249
5-8-10-11-20,249
6-9-10-12-25,249
7-10-11-18-25,249
7-11-12-18-20,249
7-14-20-23-25,249
8-10-11-24-25,249
9-10-11-13-23,249
9-10-11-18-20,249
1-10-11-13-25,248
1-10-11-14-17,248
1-10-12-20-25,248
1-10-15-18-21,248
1-10-17-18-20,248
1-10-19-21-25,248
1-10-20-23-25,248
1-11-13-18-22,248
1-11-13-20-22,248
1-11-13-23-24,248
1-3-10-11-13,248
1-3-14-15-22,248
1-4-13-20-23,248
1-4-9-11-23,248
1-5-8-10-24,248
1-8-10-14-24,248
1-9-10-13-20,248
1-9-13-18-20,248
10-11-13-19-20,248
10-11-14-15-24,248
10-11-15-20-24,248
10-11-20-21-23,248
10-11-20-22-25,248
10-12-13-23-25,248
10-12-17-24-25,248
10-13-19-20-25,248
10-14-19-20-25,248
10-16-19-20-25,248
11-12-16-20-25,248
11-13-19-20-22,248
11-14-15-18-20,248
12-13-14-20-25,248
12-13-20-24-25,248
2-20-23-24-25,248
2-5-14-20-25,248
3-15-19-22-25,248
3-18-20-24-25,248
3-18-22-24-25,248
3-4-11-13-15,248
3-4-15-22-24,248
3-4-21-22-25,248
3-4-6-19-24,248
3-4-6-22-25,248
3-4-6-9-19,248
3-5-11-23-25,248
3-7-9-10-25,248
4-10-11-18-20,248
4-10-11-23-24,248
4-10-12-14-22,248
4-10-12-23-25,248
4-11-13-20-24,248
4-6-11-13-20,248
4-9-11-13-20,248
5-10-11-13-20,248
5-10-13-20-25,248
5-11-13-14-20,248
5-11-20-23-24,248
5-11-20-24-25,248
5-8-11-13-15,248
5-8-11-14-25,248
6-10-19-20-24,248
6-9-10-13-25,248
6-9-12-13-20,248
7-10-14-20-23,248
7-11-12-20-25,248
7-9-10-11-20,248
7-9-10-14-20,248
8-10-11-13-20,248
8-10-20-22-25,248
8-11-18-22-25,248
8-11-20-24-25,248
9-10-12-13-20,248
9-13-14-19-20,248
1-10-11-12-25,247
1-10-11-13-23,247
1-10-11-14-24,247
1-10-12-14-25,247
1-10-12-17-25,247
1-10-23-24-25,247
1-11-13-19-20,247
1-11-14-20-25,247
1-12-19-21-25,247
1-3-10-23-25,247
1-3-11-15-20,247
1-4-11-13-24,247
1-4-11-19-20,247
1-4-13-18-20,247
1-5-11-20-24,247
1-5-8-10-11,247
1-9-12-24-25,247
10-11-12-19-25,247
10-11-12-20-22,247
10-11-13-24-25,247
10-12-13-20-23,247
10-13-16-20-25,247
11-12-13-20-25,247
11-12-14-18-25,247
11-12-19-20-25,247
11-12-20-24-25,247
11-13-18-19-20,247
11-13-23-24-25,247
12-14-18-20-25,247
2-10-11-20-23,247
2-10-20-23-25,247
2-12-23-24-25,247
2-14-15-20-22,247
2-3-11-20-25,247
2-3-4-11-20,247
2-4-22-24-25,247
2-4-9-14-20,247
2-7-13-18-20,247
2-9-11-13-20,247
2-9-11-20-25,247
2-9-13-20-25,247
3-10-11-15-24,247
3-10-11-20-25,247
3-15-22-24-25,247
3-4-11-15-20,247
3-4-19-22-25,247
3-4-5-11-24,247
3-4-6-22-24,247
3-4-6-9-20,247
3-4-9-13-20,247
3-6-9-18-25,247
3-9-10-14-15,247
4-10-11-20-24,247
4-10-13-20-25,247
4-11-12-13-20,247
4-11-12-19-20,247
4-11-13-20-25,247
4-11-14-21-24,247
4-11-20-23-25,247
4-13-20-23-25,247
4-5-8-10-11,247
4-8-10-11-24,247
4-9-10-12-19,247
4-9-10-19-24,247
4-9-13-18-20,247
4-9-13-19-20,247
5-11-12-20-25,247
5-11-13-20-22,247
5-13-18-20-21,247
5-7-14-20-21,247
5-9-10-19-25,247
7-10-11-14-20,247
7-11-13-20-22,247
8-10-11-23-25,247
8-10-12-20-25,247
8-10-16-19-25,247
8-11-17-22-25,247
8-13-14-20-25,247
9-10-11-13-25,247
9-10-12-20-23,247
9-10-13-17-20,247
9-10-13-23-25,247
9-10-13-24-25,247
9-10-14-18-20,247
9-13-14-15-20,247
9-13-14-17-20,247
1-10-12-14-17,246
1-10-13-18-24,246
1-10-13-20-24,246
1-10-18-24-25,246
1-11-12-15-20,246
1-12-15-24-25,246
1-12-17-24-25,246
1-12-18-24-25,246
1-12-20-24-25,246
1-13-15-18-20,246
1-20-23-24-25,246
1-3-10-11-23,246
1-3-15-22-25,246
1-3-5-15-24,246
1-4-10-11-19,246
1-4-13-15-20,246
1-4-13-20-22,246
1-4-5-13-20,246
1-5-10-11-24,246
1-5-11-13-20,246
1-5-13-18-20,246
1-5-8-11-24,246
1-6-9-10-17,246
1-9-10-13-24,246
1-9-10-20-25,246
1-9-13-19-20,246
10-11-12-21-25,246
10-11-13-20-21,246
10-11-13-20-22,246
10-11-18-19-20,246
10-11-18-24-25,246
10-11-19-20-25,246
10-11-20-23-24,246
10-18-19-20-21,246
10-19-20-21-25,246
11-12-18-20-22,246
11-13-15-20-24,246
12-14-15-18-20,246
13-15-18-20-22,246
2-12-18-24-25,246
2-3-15-22-25,246
2-3-4-9-20,246
2-4-10-12-14,246
2-4-11-14-20,246
2-4-12-20-25,246
2-4-12-23-25,246
2-4-20-24-25,246
2-4-6-17-25,246
2-4-9-10-22,246
2-4-9-11-20,246
2-6-10-12-25,246
2-7-10-11-20,246
2-9-10-23-25,246
3-10-11-14-15,246
3-11-15-19-20,246
3-11-15-22-25,246
3-11-18-22-25,246
3-11-21-22-24,246
3-13-15-22-25,246
3-14-15-19-20,246
3-4-10-11-23,246
3-4-10-22-25,246
3-4-11-19-22,246
3-4-6-9-10,246
3-4-9-10-19,246
3-6-9-22-25,246
3-7-9-10-11,246
3-9-10-11-20,246
4-10-13-24-25,246
4-11-13-22-24,246
4-12-23-24-25,246
4-13-19-22-24,246
4-5-11-14-24,246
4-5-11-18-20,246
4-5-11-21-24,246
4-5-9-19-20,246
4-9-10-11-21,246
4-9-12-13-20,246
5-10-11-19-20,246
5-10-11-23-25,246
5-10-19-20-24,246
5-10-20-23-25,246
5-10-23-24-25,246
5-11-13-19-20,246
5-11-15-20-24,246
5-11-19-20-21,246
5-14-15-20-25,246
5-8-11-13-20,246
5-8-11-18-20,246
5-8-13-14-20,246
5-9-14-19-20,246
6-12-18-24-25,246
6-9-12-19-20,246
7-11-14-20-24,246
7-12-13-18-20,246
8-10-11-20-23,246
8-10-20-23-25,246
8-11-20-23-25,246
9-10-11-14-20,246
9-10-14-16-19,246
1-10-11-13-24,245
1-10-11-23-25,245
1-10-14-15-22,245
1-10-14-24-25,245
1-10-18-19-20,245
1-11-18-19-20,245
1-12-15-19-25,245
1-2-10-11-18,245
1-2-11-18-20,245
1-3-5-11-23,245
1-3-6-9-10,245
1-3-9-13-25,245
1-4-11-14-21,245
1-4-20-23-25,245
1-4-9-10-11,245
1-5-10-13-24,245
1-6-10-18-20,245
1-9-10-17-25,245
1-9-14-15-22,245
10-11-12-15-20,245
10-11-12-22-25,245
10-11-13-23-24,245
10-11-14-18-25,245
10-11-20-22-24,245
10-12-20-21-25,245
10-12-20-22-25,245
10-13-18-24-25,245
10-13-20-22-25,245
10-13-23-24-25,245
10-14-15-20-24,245
11-12-14-15-20,245
11-13-15-19-20,245
11-13-18-20-21,245
11-13-19-20-25,245
12-13-23-24-25,245
12-16-20-24-25,245
12-18-20-24-25,245
2-10-11-20-24,245
2-11-13-15-20,245
2-11-13-23-24,245
2-12-15-24-25,245
2-3-10-14-25,245
2-4-18-24-25,245
2-4-5-11-20,245
2-4-6-23-25,245
2-4-9-10-20,245
2-4-9-10-25,245
2-7-10-14-20,245
2-7-11-13-20,245
2-7-11-18-20,245
2-8-10-11-25,245
2-9-11-18-20,245
3-10-11-13-20,245
3-11-13-18-22,245
3-11-13-22-24,245
3-11-15-20-24,245
3-11-18-20-22,245
3-4-10-11-15,245
3-4-10-11-19,245
3-4-10-11-22,245
3-4-11-19-20,245
3-4-11-20-22,245
3-4-19-24-25,245
3-4-5-11-20,245
3-4-6-9-22,245
3-4-9-10-25,245
3-4-9-22-25,245
3-5-10-13-25,245
3-5-14-20-25,245
3-6-14-15-22,245
3-6-21-22-24,245
3-9-10-18-25,245
4-10-11-12-25,245
4-10-11-13-24,245
4-10-11-23-25,245
4-10-12-14-24,245
4-11-13-20-23,245
4-12-13-18-20,245
4-5-10-19-24,245
4-5-8-10-24,245
4-5-9-11-20,245
4-9-10-14-22,245
4-9-10-14-24,245
4-9-11-19-20,245
5-10-11-15-24,245
5-10-12-24-25,245
5-10-16-19-25,245
5-11-14-15-20,245
5-11-14-19-20,245
5-11-14-20-21,245
5-11-14-20-24,245
5-11-18-20-21,245
5-11-18-20-25,245
5-7-11-14-20,245
5-8-10-11-18,245
5-9-13-14-20,245
6-10-11-18-20,245
6-10-12-24-25,245
6-10-20-24-25,245
6-9-10-17-19,245
6-9-10-19-25,245
6-9-13-19-20,245
7-14-15-20-25,245
8-10-11-14-25,245
8-11-20-22-25,245
9-10-11-12-23,245
9-10-11-20-23,245
9-10-12-17-25,245
9-10-12-18-20,245
9-10-13-15-25,245
9-11-13-15-20,245
9-11-13-19-20,245
1-10-11-12-20,244
1-10-11-14-23,244
1-10-11-18-25,244
1-10-11-24-25,244
1-10-12-16-19,244
1-10-12-17-19,244
1-10-12-20-24,244
1-10-13-14-24,244
1-10-14-15-19,244
1-11-13-15-20,244
1-12-15-21-25,244
1-13-23-24-25,244
1-15-18-20-22,244
1-2-20-24-25,244
1-2-7-10-14,244
1-3-10-14-24,244
1-3-11-14-15,244
1-3-15-22-24,244
1-3-4-13-20,244
1-3-5-10-25,244
1-4-10-11-13,244
1-4-10-14-24,244
1-4-23-24-25,244
1-5-13-15-24,244
1-6-10-12-17,244
1-6-10-17-18,244
1-7-10-14-22,244
1-8-11-14-24,244
1-9-10-11-13,244
1-9-10-12-17,244
1-9-10-15-24,244
1-9-11-13-20,244
10-11-13-15-24,244
10-11-18-20-21,244
10-12-14-23-25,244
10-12-19-24-25,244
10-15-18-19-21,244
11-12-14-18-20,244
11-13-18-20-23,244
11-13-18-20-25,244
11-13-20-23-25,244
11-13-20-24-25,244
11-15-19-20-21,244
2-10-11-13-25,244
2-10-11-15-20,244
2-10-14-18-20,244
2-10-14-20-24,244
2-11-12-18-20,244
2-11-13-20-22,244
2-11-13-23-25,244
2-11-14-20-24,244
2-11-15-20-25,244
2-12-14-20-25,244
2-12-20-23-25,244
2-14-15-20-25,244
2-4-10-23-24,244
2-4-11-20-24,244
2-4-9-23-25,244
2-7-10-14-16,244
2-8-10-14-25,244
2-8-11-20-25,244
2-9-10-14-25,244
2-9-11-12-20,244
2-9-12-20-25,244
2-9-13-14-20,244
3-10-11-23-25,244
3-11-14-15-20,244
3-12-18-22-25,244
3-15-19-20-25,244
3-4-11-13-24,244
3-4-11-15-24,244
3-4-13-19-24,244
3-4-6-13-20,244
3-5-11-14-15,244
3-5-9-13-25,244
3-9-10-13-17,244
3-9-11-13-20,244
3-9-13-19-25,244
4-10-11-15-20,244
4-12-18-24-25,244
4-13-19-24-25,244
4-13-22-23-24,244
4-21-22-24-25,244
4-5-11-19-21,244
4-5-11-20-21,244
4-5-11-20-25,244
4-9-10-11-24,244
4-9-10-12-24,244
5-10-11-15-20,244
5-11-12-19-20,244
5-11-13-15-24,244
5-11-14-20-22,244
5-11-15-20-25,244
5-14-17-20-21,244
5-14-19-20-21,244
5-7-14-20-23,244
5-9-10-14-20,244
6-10-12-20-25,244
6-12-13-18-20,244
6-12-13-18-24,244
6-12-17-24-25,244
6-12-20-24-25,244
6-9-10-12-20,244
7-10-11-12-25,244
7-10-14-20-24,244
7-10-18-20-25,244
7-11-15-18-20,244
7-14-15-20-22,244
7-8-10-11-25,244
7-8-11-20-25,244
7-9-10-20-25,244
8-10-14-18-20,244
9-10-11-15-20,244
9-10-11-23-25,244
9-10-12-23-25,244
9-10-13-18-25,244
9-10-14-15-19,244
9-10-18-20-25,244
9-14-15-19-20,244
1-10-11-12-19,243
1-10-11-17-18,243
1-10-12-18-25,243
1-10-12-19-20,243
1-10-12-21-25,243
1-10-14-17-24,243
1-10-14-18-20,243
1-10-17-20-24,243
1-10-17-24-25,243
1-11-14-15-22,243
1-11-15-22-24,243
1-11-19-20-21,243
1-11-20-23-25,243
1-12-15-20-25,243
1-12-19-20-25,243
1-14-15-20-22,243
1-14-20-24-25,243
1-2-10-14-25,243
1-2-15-24-25,243
1-2-4-24-25,243
1-3-10-24-25,243
1-3-15-19-25,243
1-3-4-11-19,243
1-3-4-15-22,243
1-4-8-11-24,243
1-5-10-11-18,243
1-5-11-15-24,243
1-6-9-10-12,243
1-6-9-12-17,243
1-9-10-11-20,243
1-9-10-12-19,243
1-9-10-14-24,243
1-9-13-20-25,243
10-11-12-20-24,243
10-11-15-20-25,243
10-11-18-22-25,243
10-12-13-14-20,243
10-12-13-18-24,243
10-12-18-19-20,243
10-12-18-20-21,243
10-13-20-21-25,243
11-12-20-22-25,243
11-12-20-23-25,243
11-13-14-15-20,243
11-13-14-20-25,243
11-13-18-22-25,243
12-13-18-19-20,243
12-13-18-20-25,243
12-13-18-24-25,243
12-14-15-19-20,243
2-3-14-22-25,243
2-4-11-24-25,243
2-4-19-24-25,243
2-4-5-11-24,243
2-4-6-12-25,243
2-4-9-14-22,243
2-7-11-20-24,243
2-7-9-14-20,243
3-11-15-18-20,243
3-4-10-12-22,243
3-4-13-15-20,243
3-4-13-15-24,243
3-4-15-19-24,243
3-4-19-22-24,243
3-4-6-19-25,243
3-4-9-19-20,243
3-5-8-11-25,243
3-6-14-15-25,243
3-6-9-19-25,243
3-7-14-15-20,243
3-7-14-20-24,243
3-7-9-14-20,243
4-10-11-19-20,243
4-10-11-21-23,243
4-10-12-20-23,243
4-10-13-20-23,243
4-11-14-20-22,243
4-12-13-19-20,243
4-12-22-24-25,243
4-5-11-20-23,243
4-5-13-18-20,243
4-5-13-19-20,243
4-6-9-12-13,243
4-6-9-13-20,243
4-6-9-19-20,243
4-9-12-19-20,243
5-10-13-15-24,243
5-10-13-24-25,243
5-10-17-18-21,243
5-10-19-21-25,243
5-11-12-14-25,243
5-11-13-18-22,243
5-11-13-20-25,243
5-11-23-24-25,243
5-12-14-20-25,243
5-12-20-24-25,243
5-13-14-20-21,243
5-14-15-19-20,243
5-14-20-21-25,243
5-8-10-24-25,243
6-10-12-13-20,243
6-12-13-20-24,243
6-9-10-14-19,243
6-9-10-14-20,243
6-9-10-17-25,243
6-9-10-19-20,243
6-9-12-18-25,243
7-10-13-18-20,243
7-11-18-20-24,243
7-11-18-20-25,243
8-10-11-13-25,243
8-10-13-14-20,243
8-11-22-24-25,243
9-10-12-22-25,243
9-10-14-15-22,243
9-10-19-24-25,243
9-12-13-18-25,243
9-13-14-20-25,243
9-13-18-19-20,243
9-13-18-20-25,243
